X,Y
0.33082033,-0.46879581
-0.36017132,0.65157392
-0.37923823,0.54787089
-1.31757601,-0.70341785
1.77370898,1.06315473
0.11981756,-0.65509297
0.87239917,1.52269544
-1.07667951,-0.52254423
0.33156962,-0.27408732
-0.42428913,-0.67321544
0.22140182,-1.27048767
1.17312125,1.15358581
-0.63460184,0.28557909
-1.04208452,-0.19801061
0.75453776,0.57551394
0.65710074,1.58626813
-0.37768238,0.45405627
0.02906523,0.50328306
1.74123321,1.12324947
-0.31098649,-0.27450623
-1.32035776,-0.19543263
-1.03751053,-1.49305179
-1.47096087,-0.23226825
0.59159424,-0.45345272
1.27434749,1.53722861
-0.21626462,0.27369311
1.19325799,1.43869461
-1.04120606,-0.61863557
0.43811803,0.14990446
0.48982504,0.18721504
0.72557285,-0.11179714
-0.04539574,0.74003244
-1.12571688,-0.59890763
-1.17834847,-1.41059195
0.79482589,0.79467013
1.58673802,1.39341748
-0.25384774,0.02380868
1.34770469,1.69771072
-1.31198161,-0.21681889
-1.05066051,-0.18501732
-0.74505412,-0.67968551
0.22034079,0.27298424
-0.52074842,-0.19794399
1.69423906,0.82234986
-0.71220987,-0.75364655
-0.72140529,-0.65244646
0.13635924,-0.72887182
0.63432147,1.57025732
-0.68904646,0.27686881
1.54132553,0.53341983
0.57193716,1.45545903
-0.76350329,-0.20676083
-1.06166595,-0.30384697
0.53921183,-0.45621218
0.62314262,-0.33373646
0.89905761,1.10534073
0.33599149,-0.55818689
-1.23243951,-0.23741724
1.14829216,0.58568928
-1.06060406,-0.21433788
1.20921749,0.57913676
0.49091751,1.29353753
-0.65598192,0.04833956
-0.75825496,-1.01340889
